filename,category,category_names
../data/images/keggle_data_animals/raw-img/squirrel/OIP-817778tPKZPZ3f1azpMDFwHaE6.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/horse/OIP-Kt3t9RcJkzqiVCkbWJYKggHaG-.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/spider/OIP-3nS5NsbvfkM1XfG7IQP9HgHaE9.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/spider/OIP-0VN6WtLBB0ffr4TOy9seqAHaE8.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/cat/1596.jpeg,1,cat
../data/images/keggle_data_animals/raw-img/cow/OIP-O_ZflaT4iCJyF3hOfckawwHaE7.jpeg,3,cow
../data/images/keggle_data_animals/raw-img/cow/OIP--DXIif9VVeC-pa14I8PQZgHaE6.jpeg,3,cow
../data/images/keggle_data_animals/raw-img/squirrel/OIP-3IjK-n2SN6_YBiH1-WQWSAHaHa.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/butterfly/OIP-zgZsf661wyCOgzjRfbj38AHaE8.jpeg,0,butterfly
../data/images/keggle_data_animals/raw-img/squirrel/OIP-Mvo746MQj9IiTVGRo1-brwHaFj.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/butterfly/OIP-v-Urpe47ZJYBM1WxeqXAnQHaE8.jpeg,0,butterfly
../data/images/keggle_data_animals/raw-img/butterfly/OIP-Y3K0S6_5FG8w9LRcpNKv5QHaFj.jpeg,0,butterfly
../data/images/keggle_data_animals/raw-img/squirrel/OIP-OgBq_e9VFgDSgzV-wKKVLAHaFj.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/spider/OIP-F5YfvA-bGOFEhHVwDosAKgHaE8.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/horse/OIP-liahukzVYjftmYw_urbtBQHaJ4.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/dog/OIP-uT4F_VuOJR4xVk2Ka-jQzAHaLM.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/spider/OIP-QFpiwc_WQt0lFuZbNIGZAQHaFw.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/chicken/OIP-lt9Wer-hVPFhpRIZEooTOwHaFj.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/dog/OIP-Xt28_a2yRdZuYXRIGRVkzgHaIk.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/cow/OIP-i_vcxF-7d-QGXF2Np6VKGAHaFi.jpeg,3,cow
../data/images/keggle_data_animals/raw-img/spider/OIP-QPGaWC94hxgKm5GKO4r2vQHaI7.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/cat/508.jpeg,1,cat
../data/images/keggle_data_animals/raw-img/spider/OIP-Z8a_JtxkQbTf-VD4v3OjyAHaFj.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/sheep/OIP-jYuABE1Qderswi08_57XrwHaEK.jpeg,7,sheep
../data/images/keggle_data_animals/raw-img/dog/OIP--GnTjiWNoY2Djyb3v7WXAgHaE7.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/squirrel/OIP-CBmRVQJX_6kUet8NsqHlVQHaFk.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/cat/655.jpeg,1,cat
../data/images/keggle_data_animals/raw-img/horse/OIP-SCDO8-GKmGpddOqIOB3XngHaFj.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/chicken/OIP-L1JXA7Psk5RULwiV8HlIqQHaG2.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/spider/OIP-Y1RP23n3nqXGPJUISaBCyAHaKC.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/sheep/OIP-kFiXdjx-f_pLDinYkkoIzwHaFj.jpeg,7,sheep
../data/images/keggle_data_animals/raw-img/cat/496.jpeg,1,cat
../data/images/keggle_data_animals/raw-img/cat/239.jpeg,1,cat
../data/images/keggle_data_animals/raw-img/squirrel/OIP-rF7gCCdLKB9OzIwCzKcItgHaHa.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/squirrel/OIP-8Cw7IgxlOb-TJxFvaw2GiAHaJ3.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/dog/OIP-3m5LC4ldwBSF22GQicHrXgHaLH.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/horse/OIP-BdGCYKjVNTmLNG9wPoBbUwHaJ4.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/cow/OIP-W4SbiGHWsXCQ0oHWk5rAxAHaE7.jpeg,3,cow
../data/images/keggle_data_animals/raw-img/elephant/e837b10a2af2013ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg,5,elephant
../data/images/keggle_data_animals/raw-img/dog/OIP-w76Pb-FCCZrSG0tO0-i3tAHaIo.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/spider/OIP-ZLSdLYAEcerAWVQtygCgwwHaHI.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/horse/OIP-CkNFW641wEJoOLraNEzmfgHaE7.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/horse/OIP-hH2_sbGSpH2wgJz9BCS2IQHaFb.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/elephant/OIP-S_DoeCMqrPonB8Zibds2aAHaEN.jpeg,5,elephant
../data/images/keggle_data_animals/raw-img/spider/OIP-qBDYVGA2VUBRbkJJY8QLFwHaHp.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/dog/OIP-ALj6cKrGib81bF3CjqdBsAHaE8.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/chicken/OIP-hayBnBngpQnL_LWG7fyNLAHaFj.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/cow/OIP-bbxgVLsEESDs5gnvEzyFIwAAAA.jpeg,3,cow
../data/images/keggle_data_animals/raw-img/sheep/OIP-uAxMn79-q0SnBkH2AVyiSwHaFj.jpeg,7,sheep
../data/images/keggle_data_animals/raw-img/dog/OIP-RvAplA8Q4xAyF8jCi3mLEgHaFj.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/spider/OIP-8MsIGi07TOL_Xw503dVRkgHaHR.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/dog/OIP-TGK6l0nmucs20FeKd3eB3wHaHD.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/dog/OIP-tdl9VsK25uYo-l8PLKSROgHaG0.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/butterfly/OIP-TLpb152s1Gouy4zfb4qhEgHaEo.jpeg,0,butterfly
../data/images/keggle_data_animals/raw-img/spider/OIP-oqeBo-6KKmSoKKCrIftH9gHaE7.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/cat/410.jpeg,1,cat
../data/images/keggle_data_animals/raw-img/dog/OIP-nQc_JU0Zpg5RXLrtwLmSswHaFP.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/chicken/OIP-9V0T3M_6bEw5M7_OHQqpSgHaE9.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/spider/OIP-eh8eD8Sy2vBthG_wh0XA-wHaE8.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/dog/OIP-u7W9lu8eS9HyEpU1RRhEvAHaGh.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/dog/OIP-FjXAQa6nUYv8MSE2iL-VqQHaE7.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/cat/954.jpeg,1,cat
../data/images/keggle_data_animals/raw-img/chicken/237.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/cow/OIP-TklOVWKwBkxdfT3K0SORbwHaHa.jpeg,3,cow
../data/images/keggle_data_animals/raw-img/spider/OIP-IllBRfmaP37pm5Ap-3m8iQHaFj.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/dog/OIP-0WqEJ-JHaZfzAfFcW_u9JgHaFj.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/dog/OIP-NP7drwha6Jv77OM8z-sB7gHaEo.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/horse/OIP-l3WdA33viaIfIy_NCsvvFgHaE8.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/squirrel/OIP-kCoFYMsAR5NwiMR1HHKtbQHaLH.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/chicken/OIP-mwUrNmVOftCvS6_JhyQE-QHaFA.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/spider/OIP-1o4gHpnIFpjaQfTIknj2nQEsDW.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/spider/OIP-kMsme3XpjdO5VKmYvrMGdwHaFL.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/chicken/1225.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/cat/ea36b40c29fc093ed1584d05fb1d4e9fe777ead218ac104497f5c978a7eebdbb_640.jpg,1,cat
../data/images/keggle_data_animals/raw-img/elephant/OIP-xwzQyekc4HrqPcSpS6DlyAHaFj.jpeg,5,elephant
../data/images/keggle_data_animals/raw-img/horse/OIP-N5UDFTE8qWPeVpSHN0qAWgHaC0.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/chicken/OIP-H9fNMP4KykoFVq-Hgs7_-wHaEg.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/spider/OIP-HxsVnNCBrhkGaJNarAg8oAHaE7.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/squirrel/OIP-DsptawZTCAgdcDrT5SEeqwHaFj.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/butterfly/OIP-tiiwDMf-iJ2kMHEtLNEamAHaEK.jpeg,0,butterfly
../data/images/keggle_data_animals/raw-img/squirrel/OIP-_etMNqBBhvthcoMi5V2zCQHaE7.jpeg,9,squirrel
../data/images/keggle_data_animals/raw-img/chicken/185.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/horse/OIP-QmemCMvuhyXia-UQv2q2-QAAAA.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/butterfly/OIP-Ev-vkhf2il1m4GpqHykG4QAAAA.jpeg,0,butterfly
../data/images/keggle_data_animals/raw-img/dog/OIP-AEG6uznzZ0O36UESXv3NawHaFj.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/sheep/ea36b50e2ef5093ed1584d05fb1d4e9fe777ead218ac104497f5c978a6e8b0b1_640.jpg,7,sheep
../data/images/keggle_data_animals/raw-img/chicken/OIP-HYKVueNIt38J8eG1b8_U8QHaEq.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/dog/OIP-UQq_B_78x3GUfSTIi0WnQgHaEK.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/horse/OIP-ka3o8aHEBG41qtU7CaNpPAHaIU.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/horse/OIP-wbhdRGLOU9C1z8x2QdvPiQHaEp.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/sheep/OIP-0puHweye1d5DN-07WOcsaQHaJh.jpeg,7,sheep
../data/images/keggle_data_animals/raw-img/sheep/OIP-62lec-tV-ALjXHIQ53_AgAHaFT.jpeg,7,sheep
../data/images/keggle_data_animals/raw-img/horse/OIP-LHT_os7yE5nKV25uOkMGjQHaHq.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/chicken/OIP--NVRWoItTkJNS2s8Mo4TSwHaJ4.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/dog/OIP-Bcvsl4A8VcejwqzJfykEbQHaE8.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/spider/OIP-JSiO56lEMfelcQicorvqcAHaFU.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/cat/1900.jpeg,1,cat
../data/images/keggle_data_animals/raw-img/dog/OIP-4HpJGj1_GNa9fRfKCcWA9AHaE7.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/chicken/1148.jpeg,2,chicken
../data/images/keggle_data_animals/raw-img/elephant/OIP-FhMb17yzsObPRx3zU7TY8gHaEn.jpeg,5,elephant
../data/images/keggle_data_animals/raw-img/sheep/OIP-S7OdkEc59wAnyKtB_RolVAHaFj.jpeg,7,sheep
../data/images/keggle_data_animals/raw-img/butterfly/OIP-hwYng6lODRudlzL3z3n0gQAAAA.jpeg,0,butterfly
../data/images/keggle_data_animals/raw-img/cow/OIP-qLBNGfpzrMUSFzu1-YXrpQHaH4.jpeg,3,cow
../data/images/keggle_data_animals/raw-img/butterfly/OIP-XO7fDhXahM4kmRF_22ingQHaCl.jpeg,0,butterfly
../data/images/keggle_data_animals/raw-img/dog/OIP-2F_nq8Y33HI7wNayJckv5gHaFj.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/horse/OIP-9wy7M-o9DhU6xQGulfRBjQHaE9.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/spider/OIP-Yz7FaJBXM5MtzQev8t_E4AHaHa.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/spider/eb31b40e2cf6033ed1584d05fb1d4e9fe777ead218ac104497f5c97ca5ecb5b1_640.jpg,8,spider
../data/images/keggle_data_animals/raw-img/horse/OIP-Ce1Mrqo35RaSK7ZVp2ba2gHaHa.jpeg,6,horse
../data/images/keggle_data_animals/raw-img/spider/OIP-VyG3ftwi5mj31hVC_ZRMxAHaGN.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/sheep/eb37b30c2af3043ed1584d05fb1d4e9fe777ead218ac104497f5c978a6eab2b0_640.jpg,7,sheep
../data/images/keggle_data_animals/raw-img/spider/OIP-isHx2NbYk3RITnBp5uIywwEsEL.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/sheep/OIP-G24lrpbim-v6ennCnv6YDQHaE8.jpeg,7,sheep
../data/images/keggle_data_animals/raw-img/cat/235.jpeg,1,cat
../data/images/keggle_data_animals/raw-img/dog/OIP-tHWf0adZecrl0UrPCOCPxAHaFj.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/elephant/OIP-YA0uxaxtoKflISNLy4bqfQHaE9.jpeg,5,elephant
../data/images/keggle_data_animals/raw-img/spider/OIP-2oYaObFh0xfvCfopwm3SbwHaE7.jpeg,8,spider
../data/images/keggle_data_animals/raw-img/butterfly/OIP-dGpOsN-cb_fb3uXH9F62QwHaFp.jpeg,0,butterfly
../data/images/keggle_data_animals/raw-img/cow/OIP-9TEViPefpChR06ZeEHfnuAHaF7.jpeg,3,cow
../data/images/keggle_data_animals/raw-img/elephant/OIP-jhjmyJ1BixCJ-hI3DpSC8wAAAA.jpeg,5,elephant
../data/images/keggle_data_animals/raw-img/dog/OIP-P91O2PA45yMI-6NAyBiSsQAAAA.jpeg,4,dog
../data/images/keggle_data_animals/raw-img/horse/OIP-PpIO91Bc5NHM7M7jBFx-SQAAAA.jpeg,6,horse
